"site","burial","age","section","half_A_B","half_C_D","element_1","total_element"
"VFT","29","Non-adult ","central",NA,NA,"LB",38
"VFT","29","Non-adult ","central",NA,NA,"LB",38
"VFT","29","Non-adult ","central",NA,NA,"LB",38
"VFT","29","Non-adult ","central",NA,NA,"LB",38
"VFT","29","Non-adult ","central",NA,NA,"LB",38
"VFT","29","Non-adult ","central",NA,NA,"LB",38
"VFT","29","Non-adult ","central",NA,NA,"LB",38
"VFT","29","Non-adult ","central",NA,NA,"LB",38
"VFT","29","Non-adult ","central",NA,NA,"LB",38
"VFT","29","Non-adult ","central",NA,NA,"LB",38
"VFT","29","Non-adult ","central",NA,NA,"LB",38
"VFT","29","Non-adult ","central",NA,NA,"LB",38
"VFT","29","Non-adult ","central",NA,NA,"LB",38
"VFT","29","Non-adult ","central",NA,NA,"LB",38
"VFT","29","Non-adult ","central",NA,NA,"LB",38
"VFT","29","Non-adult ","central",NA,NA,"LB",38
"VFT","29","Non-adult ","central",NA,NA,"LB",38
"VFT","29","Non-adult ","central",NA,NA,"LB",38
"VFT","29","Non-adult ","central",NA,NA,"LB",38
"VFT","29","Non-adult ","central",NA,NA,"LB",38
"VFT","29","Non-adult ","central",NA,NA,"LB",38
"VFT","29","Non-adult ","central",NA,NA,"LB",38
"VFT","29","Non-adult ","central",NA,NA,"LB",38
"VFT","29","Non-adult ","central",NA,NA,"LB",38
"VFT","29","Non-adult ","central",NA,NA,"LB",38
"VFT","29","Non-adult ","central",NA,NA,"LB",38
"VFT","29","Non-adult ","central",NA,NA,"LB",38
"VFT","29","Non-adult ","central",NA,NA,"LB",38
"VFT","29","Non-adult ","central",NA,NA,"LB",38
"VFT","29","Non-adult ","central",NA,NA,"LB",38
"VFT","29","Non-adult ","central",NA,NA,"LB",38
"VFT","29","Non-adult ","central",NA,NA,"LB",38
"VFT","29","Non-adult ","central",NA,NA,"LB",6
"VFT","29","Non-adult ","central",NA,NA,"LB",6
"VFT","29","Non-adult ","central",NA,NA,"LB",6
"VFT","29","Non-adult ","central",NA,NA,"LB",6
"VFT","29","Non-adult ","central",NA,NA,"LB",6
"VFT","29","Non-adult ","central",NA,NA,"LB",6
