site,burial,sex,age,layer,section,quadrant,half_A_B,half_C_D,component,element_1,element_2,bone,area,side,P1,P2,P3,mosaic,longitudinal,transversal,curved,bulls_eye,deformation,twisting,concretion,red_brown,yellow,green,manganese,cm_0_1,cm_1_2,cm_2_3,cm_3_4,cm_4_5,over_cm_5,weight_gr,total_element,total_urn,total_section,total_half_A_B,total_half_C_D
VFT,29,ND,Non-adult (3-5 yrs),3,lower,10,half_B,half_C,F,T,R,I,I,I,,,11,,,,,,,,,,,,,2,8,1,,,,0.9,11,826,410,249,215
VFT,29,ND,Non-adult (3-5 yrs),3,lower,10,half_B,half_C,C,LB,D,I,I,I,,,11,,,,,,,,,1,,,1,5,6,,,,,0.75,11,826,410,249,215
VFT,29,ND,Non-adult (3-5 yrs),3,lower,10,half_B,half_C,S,SB,I,I,I,I,,,5,1,,,,,,,,,,,,3,2,,,,,0.83,5,826,410,249,215
VFT,29,ND,Non-adult (3-5 yrs),3,lower,11,half_B,half_D,F,CB,Cr,I,I,I,,,29,2,,,2,,5,,,3,,,3,8,16,5,,,,7.43,29,826,410,249,202
VFT,29,ND,Non-adult (3-5 yrs),3,lower,11,half_B,half_D,F,T,R,I,I,I,,,5,,,,,,,,,,,,,1,4,,,,,0.28,5,826,410,249,202
VFT,29,ND,Non-adult (3-5 yrs),3,lower,11,half_B,half_D,C,LB,D,I,I,I,,,18,,,,2,,,,,,,,1,11,6,1,,,,1.96,18,826,410,249,202
VFT,29,ND,Non-adult (3-5 yrs),3,lower,11,half_B,half_D,Ir,T,V,I,Ar,L,,,1,,,,1,,,,,,,,,,1,,,,,0.17,1,826,410,249,202
VFT,29,ND,Non-adult (3-5 yrs),3,lower,12,half_A,half_D,F,CB,Cr,I,I,I,,,18,5,,,1,,,,,1,,,2,5,13,,,,,3.27,18,826,410,168,202
VFT,29,ND,Non-adult (3-5 yrs),3,lower,12,half_A,half_D,S,SB,I,I,I,I,,,1,,,,,,,,,,,,,,,1,,,,0.72,1,826,410,168,202
VFT,29,ND,Non-adult (3-5 yrs),3,lower,12,half_A,half_D,F,T,R,I,I,I,,,8,,1,2,1,,,,,2,,,,2,5,1,,,,0.83,8,826,410,168,202
VFT,29,ND,Non-adult (3-5 yrs),3,lower,12,half_A,half_D,C,LB,D,I,I,I,,,2,,,,,,,,,,,,,,2,,,,,0.27,2,826,410,168,202
VFT,29,ND,Non-adult (3-5 yrs),3,lower,12,half_A,half_D,C,LB,D,I,I,I,,3,,,,,,,,,,1,,,,,3,,,,,0.35,3,826,410,168,202
VFT,29,ND,Non-adult (3-5 yrs),3,lower,9,half_A,half_C,Ir,CB,Cr,Pp,Me,R,,,1,,1,,,,,,,,,,,,1,,,,,2.31,1,826,410,168,215
VFT,29,ND,Non-adult (3-5 yrs),3,lower,Si,,,F,CB,Cr,I,I,I,,,120,16,,,,,4,,,1,,,2,48,71,,,,,13.18,119,826,410,,
VFT,29,ND,Non-adult (3-5 yrs),3,lower,Si,,,F,T,R,I,I,I,,,33,,,3,,,,,,3,,,3,9,24,,,,,1.93,33,826,410,,
VFT,29,ND,Non-adult (3-5 yrs),3,lower,Si,,,Ir,T,V,I,Ar,I,,,4,,,1,,,,,,,,,,3,1,,,,,0.4,4,826,410,,
VFT,29,ND,Non-adult (3-5 yrs),3,lower,Si,,,S,SB,I,I,I,I,,,4,,,,,,,,,,,,,4,,,,,,0.35,4,826,410,,
VFT,29,ND,Non-adult (3-5 yrs),3,lower,Si,,,S,SB,I,I,I,I,,,10,,,,,,,,,3,,,,8,2,,,,,0.76,10,826,410,,
VFT,29,ND,Non-adult (3-5 yrs),3,lower,Si,,,T,CB,T,I,Ro,I,,,2,,,,,,,,,,,,1,,2,,,,,0.18,2,826,410,,
VFT,29,ND,Non-adult (3-5 yrs),3,lower,Si,,,C,LB,D,I,I,I,,5,,,,,,,,,,,,,,1,4,,,,,0.3,5,826,410,,
VFT,29,ND,Non-adult (3-5 yrs),3,lower,Si,,,C,LB,D,I,I,I,,,2,,1,,,,,,,,,,,,2,,,,,0.26,2,826,410,,
VFT,29,ND,Non-adult (3-5 yrs),3,lower,Si,,,C,LB,D,I,I,I,,,35,1,,,1,,,,,2,,,4,5,29,1,,,,2.82,35,826,410,,
VFT,29,ND,Non-adult (3-5 yrs),3,lower,Si,,,T,CB,B,M1,Cro,L,,,2,,,,1,,,,,,,,,,2,,,,,0.79,2,826,410,,
VFT,29,ND,Non-adult (3-5 yrs),3,lower,Si,,,T,CB,B,M1,Cro,R,,,1,1,,,,,,,,,,,,,1,,,,,0.81,1,826,410,,
VFT,29,ND,Non-adult (3-5 yrs),3,lower,Si,,,T,CB,B,In1,Cro,L,,,1,,1,,,,,,,,,,,1,,,,,,0.15,1,826,410,,
VFT,29,ND,Non-adult (3-5 yrs),3,lower,Si,,,T,CB,B,M1,Cro,R,,,1,,,,1,,,,,,,,,,1,,,,,0.34,1,826,410,,
VFT,29,ND,Non-adult (3-5 yrs),3,lower,Si,,,T,CB,B,In2,Cro,L,,,1,,,,,,,,,,,,,1,,,,,,0.03,1,826,410,,
VFT,29,ND,Non-adult (3-5 yrs),3,lower,Si,,,T,CB,B,In2,Cro,R,,,1,,,,,,,,,,,,,1,,,,,,0.07,1,826,410,,
VFT,29,ND,Non-adult (3-5 yrs),3,lower,Si,,,T,CB,B,In1,Cro,R,,,2,1,,,,,,,,,,,,2,,,,,,0.1,2,826,410,,
VFT,29,ND,Non-adult (3-5 yrs),3,lower,Si,,,T,CB,E,I,Cro,I,,,4,,,,,,,,,,,,,4,,,,,,0.15,4,826,410,,
VFT,29,ND,Non-adult (3-5 yrs),3,lower,Si,,,T,CB,B,Ca,Cro,I,,,1,,,,,,,,,,,,,1,,,,,,0.1,1,826,410,,
